reports,ear-left,ear-right,nose-left,nose-right,throat,vc-closed,vc-open,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
white discharge on the posterior wall of the pharynx  edema and erythema of the arytenoid cartilages  posterior commissure hypertrophy  vocal cords are edematous  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
superior septal deviation  polypoid degeneration of the middle turbinate,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a spur on the septum,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact, the cone of light is visualized, the tympanic membrane is thickened posteriorly and inferiorly",1,0,0,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages,0,0,0,0,0,1,0,0,0,0,0,0,0,0
septal deviation,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"a pale mass protruding from the superior meatus, suspected of polyp",0,0,1,0,0,0,0,0,0,0,0,0,0,0
the vocal cords are erythematous  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
enlargement of the left tonsil,0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema of the vocal cords  posterior commissure hypertrophy  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
superior septal deviation,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages,0,0,0,0,0,0,1,0,0,0,0,0,0,0
superior septal deviation  the nasal mucosa is pale,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mucus from the nasal meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"the external auditory canal is erythematous  the presence of cerumen with superimposed fungal infection  the tympanic membrane is intact, the cone of light is visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"the external auditory canal is erythematous  the presence of cerumen with superimposed fungal infection  the tympanic membrane is intact but thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact, the cone of light is visualized  the tympanic membrane is thickened in the posteroinferior quadrant  a calcareous plaque is present in the posteroinferior quadrant",0,1,0,0,0,0,0,0,0,0,0,0,0,0
the nasopharynx is erythematous  a streak of white mucus from the meatus moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a streak of white mucus from the sphenoethmoidal recess moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the presence of nasal discharge,0,0,1,0,0,0,0,0,0,0,0,0,0,0
the nasopharynx is erythematous,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact but thickened, the cone of light is not visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
the nasopharynx is erythematous  white mucus from the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
streaks of white mucus from the middle meatus and sphenoethmoidal recess moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
the external auditory canal is erythematous  the tympanic membrane is erythematous and bulged  Catarrhal fluid can be seen in the tympanic cavity,0,1,0,0,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the middle turbinate mucosa is pale,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tonsillar hypertrophy,0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
white mucus in the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lingual tonsillar hypertrophy  white mucus in the posterior wall of the oropharynx,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"superior septal deviation  enlargement of the middle turbinate, suspected of concha bullosa",0,0,0,1,0,0,0,0,0,0,0,0,0,0
presence of nasal watery discharge,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mucus on the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"cerumen and fungal infection in the external auditory canal  the tympanic membrane is intact but slightly thickened, the cone of light is visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact but slightly thickened, the cone of light is visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
superior septal deviation  enlargement of the ethmoid bulla,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the middle turbinate mucosa is slightly erythematous  enlargement of the ethmoid bulla,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a streak of white mucus from the middle meatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0
white mucus in the middle meatus  polypoid degeneration of the mucosa of the posterior tip of the middle meatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
white mucus in the middle meatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
endoscopic sinus surgery has been performed  whitish mucus in the nasal cavity,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema of the nasopharynx  whitish mucus in the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mucus form the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
superior septal deviation  enlargement of the uncinate process and ethmoid bulla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the vocal cords   posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
